IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150466491,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,19:25,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 3RD ST,-122.400473580152,37.7850290611875,"(37.7850290611875, -122.400473580152)",15046649130000
150466485,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,05/28/2015,19:15,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / TURK ST,-122.414056291891,37.7827931071006,"(37.7827931071006, -122.414056291891)",15046648562050
150466485,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,05/28/2015,19:15,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / TURK ST,-122.414056291891,37.7827931071006,"(37.7827931071006, -122.414056291891)",15046648565010
150467966,LARCENY/THEFT,PETTY THEFT AUTO STRIP,Thursday,05/28/2015,19:15,BAYVIEW,NONE,GOETTINGEN ST / BURROWS ST,-122.407064651909,37.7280587024631,"(37.7280587024631, -122.407064651909)",15046796606233
156132666,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,19:15,TENDERLOIN,NONE,JONES ST / ELLIS ST,-122.412784096502,37.7848656939526,"(37.7848656939526, -122.412784096502)",15613266606244
150466479,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,05/28/2015,19:08,RICHMOND,NONE,700 Block of ANZA ST,-122.454345302417,37.7801226188455,"(37.7801226188455, -122.454345302417)",15046647905083
150466504,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,05/28/2015,19:05,BAYVIEW,NONE,1800 Block of PALOU AV,-122.395161979914,37.7364571443964,"(37.7364571443964, -122.395161979914)",15046650405043
150466504,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Thursday,05/28/2015,19:05,BAYVIEW,NONE,1800 Block of PALOU AV,-122.395161979914,37.7364571443964,"(37.7364571443964, -122.395161979914)",15046650412030
150466504,ASSAULT,THREATS AGAINST LIFE,Thursday,05/28/2015,19:05,BAYVIEW,NONE,1800 Block of PALOU AV,-122.395161979914,37.7364571443964,"(37.7364571443964, -122.395161979914)",15046650419057
150466548,ARSON,ARSON,Thursday,05/28/2015,19:00,CENTRAL,NONE,300 Block of GEARY ST,-122.409077157261,37.7873064204439,"(37.7873064204439, -122.409077157261)",15046654826030
150467148,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,19:00,NORTHERN,NONE,POLK ST / SUTTER ST,-122.420120319204,37.7877570602411,"(37.7877570602411, -122.420120319204)",15046714806244
150468102,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,19:00,MISSION,NONE,FOLSOM ST / 20TH ST,-122.414693065257,37.7588955947572,"(37.7588955947572, -122.414693065257)",15046810207021
150472294,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,19:00,NORTHERN,NONE,STEINER ST / ELLIS ST,-122.434165498104,37.7821490263522,"(37.7821490263522, -122.434165498104)",15047229406242
156128580,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,05/28/2015,19:00,NORTHERN,NONE,LOMBARD ST / STEINER ST,-122.437698529469,37.7996328370724,"(37.7996328370724, -122.437698529469)",15612858006374
156128756,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,05/28/2015,19:00,TARAVAL,NONE,LINCOLN WY / 43RD AV,-122.50297457672,37.7643095016705,"(37.7643095016705, -122.50297457672)",15612875628150
